KEY                                                | zh-CN                          | zh-TW                          | en                            
------------------------------------------------------------------------------------------------------------------------------------------------------
Announcement.Confirm                               | 确认                             | 确认                             | Confirm                       
Announcement.Notice                                | 公告通知                           | 公告通知                           | Announcement                  
Announcement.UpdateHistory                         | 更新历史                           | 更新历史                           | Update History                
App.Language                                       | 语言                             | 语言                             | Language                      
App.Search                                         | 搜索                             | 搜索                             | Search                        
App.Settings                                       | 设置                             | 设置                             | Settings                      
App.Title                                          | 黑金古刀-永劫助手                      | 黑金古刀-永劫助手                      | BlackGoldAncientSword         
App.UnhandledError                                 | 程序错误: {0}                      | 程序错误: {0}                      | Error: {0}                    
ClosePrompt.ExitDirectly                           | 直接退出                           | 直接退出                           | Exit directly                 
ClosePrompt.Message                                | 您点击了关闭按钮，请选择关闭按钮的默认行为：         | 您点击了关闭按钮，请选择关闭按钮的默认行为：         | You clicked the close button. Please choose the default close behavior:
ClosePrompt.MinimizeToTaskbar                      | 最小化到任务栏                        | 最小化到任务栏                        | Minimize to taskbar           
ClosePrompt.MinimizeToTray                         | 最小化到系统托盘                       | 最小化到系统托盘                       | Minimize to System Tray       
ClosePrompt.RememberChoice                         | 记住我的选择                         | 记住我的选择                         | Remember my choice            
ClosePrompt.Title                                  | 关闭确认                           | 关闭确认                           | Close Confirmation            
GameMode.Duo                                       | 双排                             | 双排                             | Duo                           
GameMode.Match                                     | 匹配                             | 匹配                             | Normal                        
GameMode.MatchDuo                                  | 匹配双排                           | 匹配双排                           | Normal Duo                    
GameMode.MatchSolo                                 | 匹配单排                           | 匹配单排                           | Normal Solo                   
GameMode.MatchTrio                                 | 匹配三排                           | 匹配三排                           | Normal Trio                   
GameMode.Rank                                      | 天选                             | 天选                             | Ranked                        
GameMode.RankDuo                                   | 天选双排                           | 天选双排                           | Ranked Duo                    
GameMode.RankSolo                                  | 天选单排                           | 天选单排                           | Ranked Solo                   
GameMode.RankTrio                                  | 天选三排                           | 天选三排                           | Ranked Trio                   
GameMode.Solo                                      | 单排                             | 单排                             | Solo                          
GameMode.Tianren                                   | 天人                             | 天人                             | Immortal                      
GameMode.TianrenDuo                                | 天人双排                           | 天人双排                           | Immortal Duo                  
GameMode.TianrenSolo                               | 天人单排                           | 天人单排                           | Immortal Solo                 
GameMode.TianrenTrio                               | 天人三排                           | 天人三排                           | Immortal Trio                 
GameMode.Trio                                      | 三排                             | 三排                             | Trio                          
GameMode.Unknown                                   | 未知                             | 未知                             | Unknown                       
GameStatus.BattleEnded                             | 对局结束                           | 對局結束                           | Battle Over                   
GameStatus.HeroSelection                           | 英雄选择                           | 英雄選擇                           | Hero Selection                
GameStatus.InGame                                  | 游戏中                            | 遊戲中                            | In Game                       
GameStatus.LobbyWaiting                            | 大厅等候                           | 大廳等候                           | In Lobby                      
GameStatus.Queuing                                 | 排队中                            | 排隊中                            | Queuing                       
Home.LoadUserInfoFailed                            | 加载用户信息失败                       | 加载用户信息失败                       | Failed to load user info.     
Home.NetworkError                                  | 网络错误: {0}                      | 网络错误: {0}                      | Network error: {0}            
Home.NoLocalData                                   | 未找到本地玩家数据，请先启动永劫无间             | 未找到本地玩家数据，请先启动永劫无间             | No local player data found. Launch NarakaBladepoint first.
Home.PlayerNotFound                                | 服务器上未找到该玩家                     | 服务器上未找到该玩家                     | Player not found on server.   
Home.RoleIdNotAvailable                            | 玩家角色ID不可用                      | 玩家角色ID不可用                      | Player role ID not available. 
MainWindow.CheckForUpdates                         | 检测更新                           | 檢測更新                           | Check for Updates             
MainWindow.CheckForUpdates.ToolTip                 | 检查是否有新版本                       | 檢查是否有新版本                       | Check for new version         
Mode.Casual                                        | 娱乐                             | 娱乐                             | Casual                        
Mode.Duo                                           | 双排                             | 双排                             | Duo                           
Mode.Immortal                                      | 天人                             | 天人                             | Immortal                      
Mode.Match                                         | 匹配                             | 匹配                             | Normal                        
Mode.Normal                                        | 匹配                             | 匹配                             | Normal                        
Mode.Rank                                          | 天选                             | 天选                             | Ranked                        
Mode.Ranked                                        | 排位                             | 排位                             | Ranked                        
Mode.Solo                                          | 单排                             | 单排                             | Solo                          
Mode.Tianren                                       | 天人                             | 天人                             | Immortal                      
Mode.Trio                                          | 三排                             | 三排                             | Trio                          
Nav.Announcement                                   | 公告                             | 公告                             | Announcement                  
Nav.CurrentUser                                    | 当前用户                           | 当前用户                           | Current User                  
Nav.Detail                                         | 详情                             | 详情                             | Detail                        
Nav.Feedback                                       | 反馈                             | 反馈                             | Feedback                      
Nav.Home                                           | 启动页                            | 启动页                            | Launch                        
Nav.Personal                                       | 个人                             | 個人                             | Personal                      
Nav.Search                                         | 搜索                             | 搜索                             | Search                        
Nav.Settings                                       | 设置                             | 设置                             | Settings                      
Nav.Stats                                          | 战绩                             | 战绩                             | Stats                         
Search.Button                                      | 搜索                             | 搜索                             | Search                        
Search.Copy                                        | 复制                             | 复制                             | Copy                          
Search.CopySuccess                                 | 复制成功                           | 複製成功                           | Copied!                       
Search.Delete                                      | 删除                             | 删除                             | Delete                        
Search.History                                     | 搜索历史                           | 搜索历史                           | Search History                
Search.Input                                       | 输入昵称或者ID                       | 輸入暱稱或者ID                       | Enter nickname or ID          
Search.Placeholder                                 | 输入玩家名称或ID搜索                    | 输入玩家名称或ID搜索                    | Enter player name or ID to search
Search.Title                                       | 搜索                             | 搜索                             | Search                        
Settings.AutoCheckUpdates                          | 启动时自动检测更新                      | 启动时自动检测更新                      | Auto check for updates on startup
Settings.AutoUpdate                                | 更新                             | 更新                             | Update                        
Settings.BrowseCachePath                           | 选择缓存路径                         | 选择缓存路径                         | Select cache path             
Settings.BrowseDataPath                            | 选择数据保存路径                       | 选择数据保存路径                       | Select data save path         
